Key,ID,DOB,Date of last contact
1,17781809,14/05/1981,4/4/2020
2,15181127,30/01/1963,7/8/2020
3,27345566,3/7/1983,3/2/2021
4,23590719,19/02/1995,3/2/2021
5,21428206,30/09/1976,16/06/2020
6,17100849,30/07/1974,3/1/2021
7,16938027,26/01/1965,10/8/2020
8,14091294,12/1/1957,21/10/2020
9,27475810,5/9/1988,4/5/2020
10,29479358,6/8/1993,6/1/2021
11,20953823,23/01/1998,6/10/2020
12,11823724,27/11/1962,14/10/2020
13,23848345,25/11/1982,27/09/2020
14,23473609,30/08/1959,25/12/2020
15,18711121,19/11/1972,6/11/2020
16,10448783,15/09/1998,2/5/2020
17,21704037,25/02/1971,26/07/2020
18,15373028,7/12/1964,10/4/2020
19,21270181,24/08/1975,18/09/2020
20,14684650,18/02/1962,21/05/2020
21,15510526,3/2/1999,14/03/2021
22,10467631,15/06/1988,13/10/2020
23,25917536,6/10/1983,25/12/2020
24,27893626,14/07/1973,19/08/2020
25,23151899,11/6/1958,26/09/2020
26,15920104,23/09/2000,6/8/2020
27,25739612,20/08/1988,11/2/2021
28,11310172,28/03/2000,11/4/2020
29,24656708,6/2/1970,20/06/2020
30,17277664,2/8/1970,20/08/2020
31,14057959,2/12/1973,7/8/2020
32,14954372,26/08/1964,11/8/2020
33,,5/6/2000,30/04/2020
34,21424801,14/12/1957,21/10/2020
35,25906341,25/01/1977,27/12/2020
36,20460154,3/1/1965,11/5/2020
37,13854271,27/05/1976,17/05/2020
38,28315329,21/04/1978,17/07/2020
39,18826133,13/08/1978,23/04/2020
40,13221061,6/8/1959,13/01/2021
41,14807222,10/1/1975,14/01/2021
42,12634549,26/03/1981,28/10/2020
43,29854236,2/6/1965,29/05/2020
44,27556170,4/3/1978,11/5/2020
45,13073641,1/7/1995,
46,23219616,27/06/1993,3/3/2021
47,20157741,18/11/1976,17/05/2020
48,15540352,12/10/1983,25/10/2020
49,20576990,17/08/1995,14/09/2020
50,24263731,25/06/1958,21/10/2020
